model_id,epoch,loss,,,,,,
5,1,0.1186,,,,,,
5,2,0.0042,,submission,4,,Seed,port
5,3,0.0026,,Model,cifar10_resnet20,,69699351,9478
5,4,0.0019,,Num Epochs,30,,,
5,5,0.0018,,Batch Size,32,,,
5,6,0.0016,,LR,1.00E-03,,,
5,7,0.0016,,Lambda,0.1,,,
5,8,0.0015,,Portion of data used,4 out of 13,,,
5,9,0.0014,,,,,,
5,10,0.0013,,l2 loss,6.552789688,,,
5,11,0.0012,,,,,,
5,12,0.0013,,,,,,
5,13,0.0012,,,,,,
5,14,0.0011,,,,,,
5,15,0.0011,,,,,,
5,16,0.0011,,,,,,
5,17,0.001,,,,,,
5,18,0.001,,,,,,
5,19,0.001,,,,,,
5,20,0.001,,,,,,
5,21,0.001,,,,,,
5,22,0.0009,,,,,,
5,23,0.001,,,,,,
5,24,0.0009,,,,,,
5,25,0.0009,,,,,,
5,26,0.0009,,,,,,
5,27,0.0009,,,,,,
5,28,0.0009,,,,,,
5,29,0.0009,,,,,,
5,30,0.0009,,,,,,
